Proteina,U-statistic,p-value
LPU83_0769,5.000000,1.000000
cheA,3.000000,0.700000
olsA,2.000000,0.400000
cheD,4.000000,1.000000
LPU83_0471,7.000000,0.400000
luxR3,9.000000,0.100000
mviN,8.000000,0.200000
fliM,5.000000,1.000000
LPU83_0481,2.000000,0.400000
LPU83_0486,6.000000,0.700000
flgI,1.000000,0.200000
sppA,1.000000,0.200000
hpf,3.000000,0.700000
LPU83_0809,1.000000,0.200000
LPU83_0809;LPU83_0810;flaB,5.000000,1.000000
LPU83_0809;flaB,1.000000,0.200000
mcpV,1.000000,0.200000
LPU83_2175;LPU83_pLPU83d_0676;mclA3;mcpA1;mcpA3;mcpE;mcpT;mcpV,4.000000,1.000000
motC,3.000000,0.700000
LPU83_0506,2.000000,0.400000
flgK,4.000000,1.000000
LPU83_0511,4.000000,1.000000
argB,1.000000,0.200000
LPU83_0829,4.000000,1.000000
aglR,1.000000,0.200000
regM,4.000000,1.000000
aglK,5.000000,1.000000
aglK;thuK,1.000000,0.200000
ordL,7.000000,0.400000
LPU83_0532,7.000000,0.400000
LPU83_0849,2.000000,0.400000
frcB,4.000000,1.000000
potG,2.000000,0.400000
LPU83_0859,5.000000,1.000000
LPU83_0552,6.000000,0.700000
LPU83_0870,3.000000,0.700000
LPU83_0557,7.000000,0.400000
dppB1,6.000000,0.700000
LPU83_0562,6.000000,0.700000
dadA3,4.000000,1.000000
coaE,2.000000,0.400000
LPU83_0567,2.000000,0.400000
mltA,4.000000,1.000000
LPU83_0572,5.000000,1.000000
LPU83_0896,5.000000,1.000000
LPU83_0577,1.000000,0.200000
folC,9.000000,0.100000
LPU83_0906,0.000000,0.100000
LPU83_0029,6.000000,0.700000
LPU83_0911,1.000000,0.200000
LPU83_0034,7.000000,0.400000
LPU83_0916,4.000000,1.000000
LPU83_0921,0.000000,0.100000
hisH,1.000000,0.200000
LPU83_0926,9.000000,0.100000
hslU,3.000000,0.700000
LPU83_0054,6.000000,0.700000
LPU83_0069,3.000000,0.700000
LPU83_0951,3.000000,0.700000
LPU83_0074,6.000000,0.700000
lpxK,3.000000,0.700000
LPU83_0079,4.000000,1.000000
LPU83_0961,5.000000,1.000000
LPU83_0638,9.000000,0.100000
kdgR,1.000000,0.200000
oppB,6.000000,0.700000
pstB,8.000000,0.200000
LPU83_0089,4.000000,1.000000
argD,4.000000,1.000000
atpF,0.000000,0.100000
lepA,5.000000,1.000000
LPU83_0981,9.000000,0.100000
dcd,3.000000,0.700000
ispB,4.000000,1.000000
gyaR1,5.000000,1.000000
LPU83_0991,6.000000,0.700000
LPU83_0109,3.000000,0.700000
purD,0.000000,0.100000
LPU83_0669,7.000000,0.400000
kdsB1,6.000000,0.700000
LPU83_0674,4.000000,1.000000
LPU83_0119,8.000000,0.200000
gpmB1,6.000000,0.700000
LPU83_1011,0.000000,0.100000
