Proteina,U-statistic,p-value
LPU83_0072,4.000000,1.000000
glnQ,5.000000,1.000000
oppD,3.000000,0.700000
ddhB,4.000000,1.000000
LPU83_2710,6.000000,0.700000
rmlC,9.000000,0.100000
LPU83_0097,6.000000,0.700000
moeB,3.000000,0.700000
LPU83_2720,9.000000,0.100000
ftsZ3,5.000000,1.000000
LPU83_2730,6.000000,0.700000
ftsW,7.000000,0.400000
LPU83_0122,3.000000,0.700000
LPU83_0127,5.000000,1.000000
penA,4.000000,1.000000
rimP,2.000000,0.400000
solA,5.000000,1.000000
truB,2.000000,0.400000
folB,3.000000,0.700000
lyc,4.000000,1.000000
LPU83_2272,4.000000,1.000000
irr,2.000000,0.400000
S3,6.000000,0.700000
rbsK3,0.000000,0.100000
cmk,6.000000,0.700000
LPU83_2282,6.000000,0.700000
lasT,1.000000,0.200000
gabT,4.000000,1.000000
gatB,3.000000,0.700000
glsA,4.000000,1.000000
uxuB,5.000000,1.000000
LPU83_1770,4.000000,1.000000
togN,1.000000,0.200000
aroQ,5.000000,1.000000
LPU83_1780,2.000000,0.400000
LPU83_0178,6.000000,0.700000
LPU83_2312,2.000000,0.400000
LPU83_2317,4.000000,1.000000
LPU83_2765,3.000000,0.700000
LPU83_0188,9.000000,0.100000
LPU83_2322,3.000000,0.700000
LPU83_0199,6.000000,0.700000
anmK1,7.000000,0.400000
sufC,3.000000,0.700000
LPU83_0209,3.000000,0.700000
cpdB,9.000000,0.100000
cpaF,3.000000,0.700000
gcvH,7.000000,0.400000
mdh1,3.000000,0.700000
LPU83_2775,5.000000,1.000000
deoB,4.000000,1.000000
metH,3.000000,0.700000
LPU83_2367,2.000000,0.400000
LPU83_2367;LPU83_pLPU83c_0596,6.000000,0.700000
LPU83_2795,1.000000,0.200000
LPU83_1863,7.000000,0.400000
hesB,1.000000,0.200000
LPU83_2383,7.000000,0.400000
scpA,4.000000,1.000000
serS,3.000000,0.700000
cdd,9.000000,0.100000
hlyX,5.000000,1.000000
yajC,3.000000,0.700000
LPU83_2398,3.000000,0.700000
cydA,6.000000,0.700000
LPU83_2403,4.000000,1.000000
LPU83_1898,0.000000,0.100000
LPU83_1898;LPU83_pLPU83c_0683,8.000000,0.200000
secG,1.000000,0.200000
tig,0.000000,0.100000
rpoD,2.000000,0.400000
LPU83_1914,4.000000,1.000000
recQ,5.000000,1.000000
ppiD1,3.000000,0.700000
pncB,8.000000,0.200000
LPU83_0255,7.000000,0.400000
LPU83_2439,0.000000,0.100000
LPU83_2871,3.000000,0.700000
LPU83_0260,3.000000,0.700000
lpsD1,0.000000,0.100000
LPU83_2881,7.000000,0.400000
thrA,6.000000,0.700000
LPU83_2886,6.000000,0.700000
LPU83_2454,9.000000,0.100000
LPU83_2459,3.000000,0.700000
gloA3,3.000000,0.700000
LPU83_2901,5.000000,1.000000
phnN,9.000000,0.100000
nnrE,8.000000,0.200000
kdsB2,5.000000,1.000000
LPU83_0300,8.000000,0.200000
LPU83_1951,4.000000,1.000000
petP,8.000000,0.200000
cya1,9.000000,0.100000
tgt,3.000000,0.700000
proC,5.000000,1.000000
LPU83_0310,3.000000,0.700000
LPU83_2484,1.000000,0.200000
LPU83_2916,2.000000,0.400000
pheT,2.000000,0.400000
dac,5.000000,1.000000
LPU83_2921,0.000000,0.100000
xerD1,3.000000,0.700000
LPU83_1983,5.000000,1.000000
apt,7.000000,0.400000
LPU83_1988,6.000000,0.700000
LPU83_2941,7.000000,0.400000
LPU83_0340,6.000000,0.700000
LPU83_2520,4.000000,1.000000
LPU83_2951,0.000000,0.100000
LPU83_2003,9.000000,0.100000
LPU83_2956,9.000000,0.100000
LPU83_2961,9.000000,0.100000
dat,3.000000,0.700000
LPU83_2966,6.000000,0.700000
pfs,5.000000,1.000000
lpd,2.000000,0.400000
uppP,4.000000,1.000000
LPU83_2986,1.000000,0.200000
LPU83_2038,5.000000,1.000000
pdhA,3.000000,0.700000
LPU83_0385,6.000000,0.700000
proV,4.000000,1.000000
LPU83_2043,6.000000,0.700000
LPU83_2565,7.000000,0.400000
braC,5.000000,1.000000
LPU83_2048,5.000000,1.000000
LPU83_2570,3.000000,0.700000
glpD,4.000000,1.000000
ecfE,5.000000,1.000000
tsf,0.000000,0.100000
prfC,0.000000,0.100000
LPU83_2585,6.000000,0.700000
LPU83_3006,6.000000,0.700000
otsB,6.000000,0.700000
map2,7.000000,0.400000
clpA,7.000000,0.400000
LPU83_2068,4.000000,1.000000
LPU83_3016,5.000000,1.000000
cysE,8.000000,0.200000
LPU83_0415,8.000000,0.200000
aapJ,6.000000,0.700000
LPU83_2605,3.000000,0.700000
xdhB,9.000000,0.100000
cyaA,8.000000,0.200000
LPU83_0430,3.000000,0.700000
LPU83_3031,7.000000,0.400000
ubiB,4.000000,1.000000
dnaA,4.000000,1.000000
LPU83_2088,8.000000,0.200000
pucM,4.000000,1.000000
LPU83_3046,6.000000,0.700000
LPU83_0450,5.000000,1.000000
LPU83_3056,9.000000,0.100000
iunH1,7.000000,0.400000
LPU83_2642,6.000000,0.700000
araG,2.000000,0.400000
LPU83_4168;araG;rbsA5,3.000000,0.700000
LPU83_0460,6.000000,0.700000
idhA,0.000000,0.100000
miaB,3.000000,0.700000
ndh,6.000000,0.700000
LPU83_2657,6.000000,0.700000
nifUch1,6.000000,0.700000
cobU,2.000000,0.400000
recD,6.000000,0.700000
tme,8.000000,0.200000
cobE,4.000000,1.000000
nthA,5.000000,1.000000
LPU83_1813;LPU83_pLPU83d_0833;LPU83_pLPU83d_1604,8.000000,0.200000
LPU83_0485,4.000000,1.000000
ilvH,2.000000,0.400000
ihfB,6.000000,0.700000
cobD,6.000000,0.700000
p20,4.000000,1.000000
rpoN,2.000000,0.400000
LPU83_2133,2.000000,0.400000
thyA,3.000000,0.700000
LPU83_0500,5.000000,1.000000
LPU83_3122,6.000000,0.700000
LPU83_0510,3.000000,0.700000
LPU83_2143,0.000000,0.100000
LPU83_0515,5.000000,1.000000
LPU83_2148,3.000000,0.700000
nodT1;nodT3,2.000000,0.400000
LPU83_2702,7.000000,0.400000
LPU83_3137,6.000000,0.700000
engB,3.000000,0.700000
LPU83_2707,6.000000,0.700000
LPU83_2158,3.000000,0.700000
prmA,9.000000,0.100000
mcpT,5.000000,1.000000
cspA1,4.000000,1.000000
LPU83_2717,8.000000,0.200000
xylR1,3.000000,0.700000
recN,4.000000,1.000000
LPU83_3152,5.000000,1.000000
LPU83_3157,0.000000,0.100000
ftsQ,3.000000,0.700000
LPU83_2178,3.000000,0.700000
murB,3.000000,0.700000
frk,2.000000,0.400000
LPU83_3167,3.000000,0.700000
mraY,9.000000,0.100000
acrB,2.000000,0.400000
hndI,7.000000,0.400000
mraW,6.000000,0.700000
cobT1,4.000000,1.000000
LPU83_2747,7.000000,0.400000
lsrC,9.000000,0.100000
LPU83_2198,5.000000,1.000000
nylB,4.000000,1.000000
LPU83_0571,6.000000,0.700000
ureC,5.000000,1.000000
LPU83_2203,3.000000,0.700000
metF,3.000000,0.700000
ureA,5.000000,1.000000
braG,6.000000,0.700000
LPU83_2213,7.000000,0.400000
cheY5,5.000000,1.000000
LPU83_2223,2.000000,0.400000
LPU83_3217,3.000000,0.700000
mobA,5.000000,1.000000
ung,4.000000,1.000000
LPU83_2233,5.000000,1.000000
LPU83_2767,9.000000,0.100000
fumB,3.000000,0.700000
LPU83_3237,6.000000,0.700000
LPU83_2243,2.000000,0.400000
LPU83_3242,5.000000,1.000000
glnA7,7.000000,0.400000
LPU83_2248,9.000000,0.100000
srpB,9.000000,0.100000
cysT1,4.000000,1.000000
LPU83_2782,6.000000,0.700000
LPU83_0626,9.000000,0.100000
dme,6.000000,0.700000
exoA,9.000000,0.100000
exoA;exoL,6.000000,0.700000
NAGK,5.000000,1.000000
xyoA,2.000000,0.400000
LPU83_2258,8.000000,0.200000
LPU83_0637,6.000000,0.700000
pstA,3.000000,0.700000
LPU83_0647,2.000000,0.400000
metZ,1.000000,0.200000
thuR,4.000000,1.000000
thuA,0.000000,0.100000
LPU83_2263,6.000000,0.700000
LPU83_3267,3.000000,0.700000
folK,4.000000,1.000000
LPU83_2828,5.000000,1.000000
LPU83_0663,5.000000,1.000000
dksA,7.000000,0.400000
LPU83_2838,7.000000,0.400000
LPU83_0668,0.000000,0.100000
icdA,5.000000,1.000000
LPU83_2843,5.000000,1.000000
LPU83_0673,4.000000,1.000000
murI,7.000000,0.400000
LPU83_3272,1.000000,0.200000
ttcA,6.000000,0.700000
tdh,3.000000,0.700000
LPU83_3277,8.000000,0.200000
LPU83_2858,7.000000,0.400000
grlA,6.000000,0.700000
LPU83_0683,0.000000,0.100000
LPU83_2303,0.000000,0.100000
maiA,4.000000,1.000000
LPU83_0688,4.000000,1.000000
purS,6.000000,0.700000
LPU83_0693,3.000000,0.700000
lpsC,5.000000,1.000000
nerA,7.000000,0.400000
LPU83_2318,7.000000,0.400000
LPU83_2888,8.000000,0.200000
LPU83_0703,7.000000,0.400000
selA,7.000000,0.400000
aatA,2.000000,0.400000
aatA;aatB,3.000000,0.700000
LPU83_2328,3.000000,0.700000
mdeA,5.000000,1.000000
LPU83_2903,2.000000,0.400000
sufD,6.000000,0.700000
envZ1,5.000000,1.000000
prsX,6.000000,0.700000
LPU83_2913,9.000000,0.100000
gcvT3,9.000000,0.100000
katG,3.000000,0.700000
mscL,2.000000,0.400000
LPU83_2918,6.000000,0.700000
LPU83_2353,5.000000,1.000000
LPU83_2923,7.000000,0.400000
LPU83_3332,3.000000,0.700000
fghA,3.000000,0.700000
pth,7.000000,0.400000
LPU83_3337,4.000000,1.000000
pccA,5.000000,1.000000
LPU83_2933,7.000000,0.400000
LPU83_3342,5.000000,1.000000
suhB1,6.000000,0.700000
fbcB,3.000000,0.700000
vcaM,2.000000,0.400000
LPU83_3362,6.000000,0.700000
sdaA3,4.000000,1.000000
LPU83_2948,2.000000,0.400000
ameR,2.000000,0.400000
moxR,6.000000,0.700000
potD,4.000000,1.000000
LPU83_2394,9.000000,0.100000
hisD,2.000000,0.400000
LPU83_2958,6.000000,0.700000
ade3,3.000000,0.700000
LPU83_2963,2.000000,0.400000
LPU83_3382,5.000000,1.000000
LPU83_2404,4.000000,1.000000
LPU83_2409,1.000000,0.200000
LPU83_2973,7.000000,0.400000
pyrG,3.000000,0.700000
yacG,2.000000,0.400000
moeA,4.000000,1.000000
LPU83_0750,6.000000,0.700000
tdk,4.000000,1.000000
LPU83_2429,6.000000,0.700000
LPU83_2435,3.000000,0.700000
nolR3,1.000000,0.200000
aphB,2.000000,0.400000
fpr,2.000000,0.400000
LPU83_3423,4.000000,1.000000
aglA3,7.000000,0.400000
secD1,0.000000,0.100000
pal,3.000000,0.700000
LPU83_3003,3.000000,0.700000
ybgC,0.000000,0.100000
recG,8.000000,0.200000
cheW1,6.000000,0.700000
bacA,6.000000,0.700000
LPU83_3438,0.000000,0.100000
LPU83_2460,7.000000,0.400000
LPU83_2465,7.000000,0.400000
LPU83_0785,5.000000,1.000000
LPU83_3018,3.000000,0.700000
motA,1.000000,0.200000
gyrA,4.000000,1.000000
gyrA;parC,2.000000,0.400000
glpK3,6.000000,0.700000
LPU83_3453,7.000000,0.400000
coaD,4.000000,1.000000
LPU83_3028,2.000000,0.400000
LPU83_0800,6.000000,0.700000
ruvA,6.000000,0.700000
LPU83_3033,5.000000,1.000000
LPU83_3463,9.000000,0.100000
metG,2.000000,0.400000
LPU83_0810,2.000000,0.400000
LPU83_3043,6.000000,0.700000
gap,8.000000,0.200000
motD,3.000000,0.700000
rlpA,3.000000,0.700000
goxB,5.000000,1.000000
hrpN,4.000000,1.000000
pgk,4.000000,1.000000
flhA,9.000000,0.100000
LPU83_2501;LPU83_pLPU83d_0332;LPU83_pLPU83d_0333,4.000000,1.000000
LPU83_3478,9.000000,0.100000
LPU83_3058,0.000000,0.100000
LPU83_0830,2.000000,0.400000
LPU83_3483,7.000000,0.400000
gbpR,8.000000,0.200000
aglE,3.000000,0.700000
xylF,6.000000,0.700000
glnA1,5.000000,1.000000
LPU83_3498,3.000000,0.700000
SPY1,8.000000,0.200000
ilvA3,8.000000,0.200000
LPU83_0860,4.000000,1.000000
LPU83_3089,9.000000,0.100000
exsI,5.000000,1.000000
ntrX,5.000000,1.000000
LPU83_0871,4.000000,1.000000
ispDF,2.000000,0.400000
dppC1,6.000000,0.700000
LPU83_3109,4.000000,1.000000
tacA,3.000000,0.700000
LPU83_3538,3.000000,0.700000
lexA,6.000000,0.700000
dlhH,1.000000,0.200000
exsB,5.000000,1.000000
lpxA,6.000000,0.700000
LPU83_0907,7.000000,0.400000
exoN,9.000000,0.100000
rpsB,2.000000,0.400000
gltD,3.000000,0.700000
glcD,3.000000,0.700000
LPU83_3563,6.000000,0.700000
LPU83_0922,6.000000,0.700000
LPU83_2586,8.000000,0.200000
LPU83_0927,7.000000,0.400000
LPU83_3568,7.000000,0.400000
clpS1,4.000000,1.000000
LPU83_3144,6.000000,0.700000
LPU83_0932,3.000000,0.700000
LPU83_3574,0.000000,0.100000
LPU83_2596,2.000000,0.400000
LPU83_0937,6.000000,0.700000
LPU83_3579,3.000000,0.700000
LPU83_0942,2.000000,0.400000
aapQ,2.000000,0.400000
phyR,6.000000,0.700000
LPU83_3584,2.000000,0.400000
LPU83_3589,7.000000,0.400000
rluB1,9.000000,0.100000
LPU83_0952,6.000000,0.700000
glgA,9.000000,0.100000
amaB3,4.000000,1.000000
LPU83_0957,6.000000,0.700000
gloA5,7.000000,0.400000
LPU83_3169,7.000000,0.400000
LPU83_0962,9.000000,0.100000
iolG,1.000000,0.200000
ureG,4.000000,1.000000
rhiR,4.000000,1.000000
SPY3,6.000000,0.700000
atpI,7.000000,0.400000
LPU83_0987,5.000000,1.000000
LPU83_2648,7.000000,0.400000
LPU83_3194,2.000000,0.400000
glyQ,4.000000,1.000000
LPU83_3629,4.000000,1.000000
LPU83_2653,7.000000,0.400000
gyaR3,2.000000,0.400000
LPU83_2658,5.000000,1.000000
livM,8.000000,0.200000
LPU83_2663,8.000000,0.200000
ptxR,5.000000,1.000000
LPU83_3209,9.000000,0.100000
LPU83_3644,4.000000,1.000000
LPU83_1012,3.000000,0.700000
LPU83_3214,6.000000,0.700000
LPU83_1017,1.000000,0.200000
ilvI,3.000000,0.700000
rumA,4.000000,1.000000
rpoH1,6.000000,0.700000
htrA,9.000000,0.100000
LPU83_1027,3.000000,0.700000
greB,3.000000,0.700000
LPU83_3659,7.000000,0.400000
noeJ,4.000000,1.000000
noeJ,3.000000,0.700000
LPU83_3664,6.000000,0.700000
acrF3,2.000000,0.400000
LPU83_2693,2.000000,0.400000
LPU83_3669,3.000000,0.700000
acrD,5.000000,1.000000
LPU83_1047,4.000000,1.000000
rmrR,1.000000,0.200000
LPU83_3244,4.000000,1.000000
LPU83_2708,4.000000,1.000000
exoQ,8.000000,0.200000
mhpA,0.000000,0.100000
LPU83_3689,6.000000,0.700000
LPU83_1057,5.000000,1.000000
exoW,9.000000,0.100000
LPU83_3694,4.000000,1.000000
creA,6.000000,0.700000
exoO,3.000000,0.700000
comL,6.000000,0.700000
LPU83_3704,4.000000,1.000000
ddl,8.000000,0.200000
LPU83_3709,5.000000,1.000000
LPU83_1077,3.000000,0.700000
murC,4.000000,1.000000
murF,8.000000,0.200000
LPU83_1087,4.000000,1.000000
LPU83_3719,3.000000,0.700000
mraZ,3.000000,0.700000
smc,9.000000,0.100000
osmC,5.000000,1.000000
djlA,5.000000,1.000000
nadE,2.000000,0.400000
LPU83_3729,9.000000,0.100000
cysD1,1.000000,0.200000
LPU83_2758,4.000000,1.000000
LPU83_3744,0.000000,0.100000
caiB,7.000000,0.400000
LPU83_3274,6.000000,0.700000
ansA,4.000000,1.000000
envZ3,5.000000,1.000000
LPU83_3289,7.000000,0.400000
LPU83_1134,7.000000,0.400000
LPU83_3764,5.000000,1.000000
LPU83_3769,5.000000,1.000000
LPU83_2768,6.000000,0.700000
LPU83_1144,5.000000,1.000000
LPU83_3304,6.000000,0.700000
LPU83_3774,7.000000,0.400000
aggA,3.000000,0.700000
cyaO,6.000000,0.700000
LPU83_1154,5.000000,1.000000
LPU83_3319,5.000000,1.000000
LPU83_1159,4.000000,1.000000
LPU83_2773,8.000000,0.200000
appA,0.000000,0.100000
tam,0.000000,0.100000
appF,3.000000,0.700000
LPU83_3339,5.000000,1.000000
LPU83_2783,3.000000,0.700000
LPU83_3779,4.000000,1.000000
LPU83_3344,7.000000,0.400000
LPU83_2788,4.000000,1.000000
LPU83_2793,5.000000,1.000000
LPU83_1179,2.000000,0.400000
LPU83_3364,3.000000,0.700000
acrF5,3.000000,0.700000
acrB;acrF5,5.000000,1.000000
sodB,8.000000,0.200000
secA,0.000000,0.100000
LPU83_1194,5.000000,1.000000
NIA1,8.000000,0.200000
thuE,0.000000,0.100000
LPU83_3384,4.000000,1.000000
LPU83_1199,7.000000,0.400000
LPU83_3800,7.000000,0.400000
thuB,3.000000,0.700000
LPU83_3389,5.000000,1.000000
LPU83_1204,3.000000,0.700000
etfB,2.000000,0.400000
etfB,4.000000,1.000000
nrdI,7.000000,0.400000
argH,0.000000,0.100000
LPU83_2839,4.000000,1.000000
mdmC,5.000000,1.000000
LPU83_3825,3.000000,0.700000
ropA3,0.000000,0.100000
ftsX,4.000000,1.000000
LPU83_3415,0.000000,0.100000
FMO2,8.000000,0.200000
serA,2.000000,0.400000
tyrC,3.000000,0.700000
kbl,4.000000,1.000000
pat,4.000000,1.000000
ftsH,4.000000,1.000000
LPU83_2859,5.000000,1.000000
PRP2,9.000000,0.100000
LPU83_3850,9.000000,0.100000
GYG2,8.000000,0.200000
rosR,5.000000,1.000000
LPU83_2869,7.000000,0.400000
dacF5,3.000000,0.700000
LPU83_1239,6.000000,0.700000
greA,4.000000,1.000000
LPU83_3871,7.000000,0.400000
bkdR3,2.000000,0.400000
dxr,4.000000,1.000000
ruvC,8.000000,0.200000
LPU83_3881,8.000000,0.200000
LPU83_3460,6.000000,0.700000
rocD,9.000000,0.100000
LPU83_3465,7.000000,0.400000
fdsA,2.000000,0.400000
LPU83_2899,6.000000,0.700000
LPU83_3896,9.000000,0.100000
LPU83_2904,7.000000,0.400000
LPU83_1244,3.000000,0.700000
atpG3,5.000000,1.000000
REE1,8.000000,0.200000
rpmE,5.000000,1.000000
lgt,8.000000,0.200000
motB3,6.000000,0.700000
lpdA,6.000000,0.700000
prsA,5.000000,1.000000
thiE1,2.000000,0.400000
LPU83_3921,6.000000,0.700000
sdhC,9.000000,0.100000
purE,3.000000,0.700000
LPU83_2934,8.000000,0.200000
fbcF,4.000000,1.000000
gpsA,2.000000,0.400000
lipA1,9.000000,0.100000
ggt,8.000000,0.200000
trmL,6.000000,0.700000
LPU83_3936,8.000000,0.200000
LPU83_2949,7.000000,0.400000
LPU83_2954,7.000000,0.400000
LPU83_1274,2.000000,0.400000
LPU83_3520,6.000000,0.700000
LPU83_2959,3.000000,0.700000
LPU83_1279,5.000000,1.000000
LPU83_1284,7.000000,0.400000
LPU83_3530,2.000000,0.400000
bioA1,8.000000,0.200000
LPU83_3961,4.000000,1.000000
lgtE,4.000000,1.000000
pabB,7.000000,0.400000
tesA,6.000000,0.700000
LPU83_1294,3.000000,0.700000
LPU83_3971,6.000000,0.700000
hisC1,5.000000,1.000000
hemH,6.000000,0.700000
fhs,4.000000,1.000000
ccmC,2.000000,0.400000
LPU83_1309,5.000000,1.000000
proX,4.000000,1.000000
LPU83_3550,0.000000,0.100000
iolB,2.000000,0.400000
LPU83_3555,7.000000,0.400000
tyrA,3.000000,0.700000
bioA3,5.000000,1.000000
LPU83_1319,3.000000,0.700000
ltaE,2.000000,0.400000
rplS,1.000000,0.200000
engA,1.000000,0.200000
LPU83_3996,7.000000,0.400000
smpB,6.000000,0.700000
xthA3,5.000000,1.000000
LPU83_3576,6.000000,0.700000
LPU83_3014,5.000000,1.000000
tesB,7.000000,0.400000
LPU83_1345,5.000000,1.000000
LPU83_4011,5.000000,1.000000
LPU83_3581,0.000000,0.100000
bdhA,8.000000,0.200000
copS,5.000000,1.000000
LPU83_1355,6.000000,0.700000
LPU83_4022,4.000000,1.000000
PYGL,9.000000,0.100000
LPU83_1360,3.000000,0.700000
pssA,5.000000,1.000000
glgX,6.000000,0.700000
lldD,3.000000,0.700000
thiC,6.000000,0.700000
rarD,6.000000,0.700000
soxA,5.000000,1.000000
LPU83_3044,5.000000,1.000000
LPU83_4037,4.000000,1.000000
LPU83_1375,0.000000,0.100000
LPU83_3049,3.000000,0.700000
LPU83_4042,6.000000,0.700000
LPU83_4042;alh-9,6.000000,0.700000
rpsU3,3.000000,0.700000
rpsU3;rpsU5,3.000000,0.700000
purF,1.000000,0.200000
LPU83_4047,6.000000,0.700000
LPU83_1385,2.000000,0.400000
LPU83_3611,5.000000,1.000000
gguC,1.000000,0.200000
genX,2.000000,0.400000
LPU83_3616,3.000000,0.700000
rpsF,0.000000,0.100000
LPU83_3621,4.000000,1.000000
xylH,3.000000,0.700000
acpP,4.000000,1.000000
LPU83_4062,4.000000,1.000000
rsmA,7.000000,0.400000
cmoA,6.000000,0.700000
LPU83_4067,6.000000,0.700000
cobW3,7.000000,0.400000
LPU83_1410,3.000000,0.700000
gal,2.000000,0.400000
glmS3,7.000000,0.400000
ndk,3.000000,0.700000
phbB,4.000000,1.000000
moaD,2.000000,0.400000
LPU83_3646,4.000000,1.000000
LPU83_4087,4.000000,1.000000
LPU83_3651,5.000000,1.000000
LPU83_1435,8.000000,0.200000
ispG,2.000000,0.400000
purM,2.000000,0.400000
LPU83_3661,5.000000,1.000000
LPU83_4097,5.000000,1.000000
LPU83_3666,4.000000,1.000000
cyaB1,6.000000,0.700000
rmrA1,0.000000,0.100000
parC,3.000000,0.700000
leuD,6.000000,0.700000
hemB,5.000000,1.000000
LPU83_4112,6.000000,0.700000
glyA,3.000000,0.700000
gltX1,0.000000,0.100000
aspH,6.000000,0.700000
NEC1,7.000000,0.400000
LPU83_4122,4.000000,1.000000
LPU83_1475,3.000000,0.700000
LPU83_3691,6.000000,0.700000
ihfA,6.000000,0.700000
obgE,2.000000,0.400000
rplU,2.000000,0.400000
LPU83_3150,7.000000,0.400000
LPU83_1491,3.000000,0.700000
LPU83_4143,5.000000,1.000000
nth,5.000000,1.000000
tcrY,3.000000,0.700000
LPU83_4148,7.000000,0.400000
ctaA,4.000000,1.000000
mtlK,1.000000,0.200000
LPU83_4153,7.000000,0.400000
prfB,2.000000,0.400000
prfA;prfB,4.000000,1.000000
smoC,7.000000,0.400000
dht,3.000000,0.700000
LPU83_3721,4.000000,1.000000
LPU83_3170,2.000000,0.400000
kdpE,3.000000,0.700000
LPU83_3726,6.000000,0.700000
ureF,7.000000,0.400000
LPU83_4168,0.000000,0.100000
dppC3,4.000000,1.000000
cya3-2,6.000000,0.700000
cscA,8.000000,0.200000
ureB,4.000000,1.000000
cynT,4.000000,1.000000
livK,6.000000,0.700000
LPU83_4188,7.000000,0.400000
LPU83_3761,4.000000,1.000000
braD,6.000000,0.700000
acs,4.000000,1.000000
LPU83_3210,4.000000,1.000000
prfA,4.000000,1.000000
LPU83_4198,3.000000,0.700000
LPU83_3215,1.000000,0.200000
rplK,4.000000,1.000000
mnmG,7.000000,0.400000
LPU83_3220,6.000000,0.700000
rpoC,0.000000,0.100000
LPU83_3776,5.000000,1.000000
LPU83_3225,6.000000,0.700000
fusA2,2.000000,0.400000
ugdH,3.000000,0.700000
rkpK3;ugdH,3.000000,0.700000
rplW,0.000000,0.100000
mexE,4.000000,1.000000
rplP,0.000000,0.100000
LPU83_3240,4.000000,1.000000
rplE,3.000000,0.700000
rpsE,1.000000,0.200000
grxC,4.000000,1.000000
exoF,4.000000,1.000000
rpsM,2.000000,0.400000
exoH,8.000000,0.200000
LPU83_1610,6.000000,0.700000
exoP3,9.000000,0.100000
LPU83_3786,6.000000,0.700000
speB,5.000000,1.000000
LPU83_3791,3.000000,0.700000
LPU83_1625,6.000000,0.700000
LPU83_3802,2.000000,0.400000
LPU83_pLPU83a_0051,5.000000,1.000000
dctD,6.000000,0.700000
hbdA,7.000000,0.400000
clpP1,7.000000,0.400000
LPU83_1645,4.000000,1.000000
lysA,2.000000,0.400000
nuoA,5.000000,1.000000
hpt,4.000000,1.000000
nuoE,2.000000,0.400000
plsC,1.000000,0.200000
nuoI,6.000000,0.700000
LPU83_pLPU83a_0071,5.000000,1.000000
LPU83_3837,5.000000,1.000000
nuoN,7.000000,0.400000
rpmB,0.000000,0.100000
proS,4.000000,1.000000
cobT3,6.000000,0.700000
LPU83_3290,4.000000,1.000000
LPU83_3852,6.000000,0.700000
accA,2.000000,0.400000
LPU83_3863,6.000000,0.700000
ohr3,4.000000,1.000000
mocF3,7.000000,0.400000
LPU83_3873,8.000000,0.200000
pyrB,6.000000,0.700000
LPU83_3878,7.000000,0.400000
LPU83_3320,4.000000,1.000000
LPU83_3883,6.000000,0.700000
LPU83_3335,2.000000,0.400000
fdsG,4.000000,1.000000
celC,3.000000,0.700000
atpC,3.000000,0.700000
atpH,4.000000,1.000000
spsF,6.000000,0.700000
xerC3,3.000000,0.700000
LPU83_3355,7.000000,0.400000
LPU83_3913,5.000000,1.000000
sucD,7.000000,0.400000
potA5,3.000000,0.700000
sdhB,9.000000,0.100000
LPU83_3380,3.000000,0.700000
LPU83_3385,9.000000,0.100000
hemC,6.000000,0.700000
LPU83_3395,6.000000,0.700000
guaA5,4.000000,1.000000
ppa,2.000000,0.400000
chrB,3.000000,0.700000
LPU83_pLPU83a_0136,0.000000,0.100000
serC,4.000000,1.000000
LPU83_3963,3.000000,0.700000
mesJ,9.000000,0.100000
LPU83_3968,8.000000,0.200000
tolR,6.000000,0.700000
acnA,1.000000,0.200000
sqdC,7.000000,0.400000
fusA,6.000000,0.700000
rimM,4.000000,1.000000
gatA,1.000000,0.200000
LPU83_3456,8.000000,0.200000
acvB,7.000000,0.400000
ftsK3,5.000000,1.000000
accC,6.000000,0.700000
LPU83_3466,7.000000,0.400000
LPU83_4008,6.000000,0.700000
aspB3,5.000000,1.000000
LPU83_3471,6.000000,0.700000
cpo1,7.000000,0.400000
LPU83_3481,2.000000,0.400000
LPU83_1793,2.000000,0.400000
dapA9,2.000000,0.400000
LPU83_3486,4.000000,1.000000
cinA1,8.000000,0.200000
sfuB,7.000000,0.400000
purK,4.000000,1.000000
ilvA1,5.000000,1.000000
LPU83_4044,5.000000,1.000000
acd2,3.000000,0.700000
aldR,6.000000,0.700000
pyk,4.000000,1.000000
alaS1,6.000000,0.700000
mgpS,5.000000,1.000000
LPU83_4064,6.000000,0.700000
LPU83_3531,1.000000,0.200000
LPU83_4069,6.000000,0.700000
LPU83_3536,4.000000,1.000000
metA,0.000000,0.100000
hss,2.000000,0.400000
LPU83_4079,3.000000,0.700000
exoR,5.000000,1.000000
aniA,5.000000,1.000000
LPU83_1871,6.000000,0.700000
kpsF,4.000000,1.000000
tatB,4.000000,1.000000
mtgA,8.000000,0.200000
lppB,8.000000,0.200000
LPU83_4094,4.000000,1.000000
crtB,6.000000,0.700000
pyc,9.000000,0.100000
pldB,7.000000,0.400000
LPU83_1891,4.000000,1.000000
LPU83_1907,7.000000,0.400000
ialA,5.000000,1.000000
LPU83_3587,9.000000,0.100000
glgB,9.000000,0.100000
rsfS,3.000000,0.700000
LPU83_1922,7.000000,0.400000
nodN,4.000000,1.000000
nadD,2.000000,0.400000
map,9.000000,0.100000
soxD,3.000000,0.700000
LPU83_1932,6.000000,0.700000
LPU83_3607,2.000000,0.400000
LPU83_1938,3.000000,0.700000
LPU83_1944,3.000000,0.700000
LPU83_3612,8.000000,0.200000
LPU83_4145,9.000000,0.100000
LPU83_3617,3.000000,0.700000
LPU83_4150,9.000000,0.100000
LPU83_3622,7.000000,0.400000
